＃　#Warehouse	%Distributed	Aria	AriaFB-1	AriaFB-2	AriaFB-4	AriaFB-6	Bohm	Calvin-1	Calvin-2	Calvin-4	Calvin-6	Pwv
1	100	10405	162434	162131	142938	159760	65119	150820	150058	138955	158069	173103
2	100	19432	200158	212400	177684	157613	125126	176064	209826	184309	161582	208909
4	100	36605	238211	253081	233002	175569	192840	194728	244724	253934	184750	286535
6	100	53032	257107	269230	234383	202324	207646	199972	258089	256255	217424	336605
8	100	68437	273828	281232	249891	208595	233438	201144	265435	276280	223815	386074
10	100	83154	282697	287854	253925	209193	254229	201160	268802	276599	222098	424332
12	100	96205	294413	296840	259307	215137	267663	200486	268799	286094	225140	461692
36	100	210474	349213	346423	305369	257706	256159	188548	275679	305916	233708	436769
60	100	266764	373169	367497	329000	283339	251632	182866	273100	312059	234680	425800
84	100	305215	389956	382028	347605	309826	249176	177014	270003	315640	234359	424167
108	100	334889	401234	395335	361866	321939	247406	174504	268557	317954	234314	420345
132	100	360544	409110	404831	374682	341248	245218	174689	268997	317126	233945	414648
156	100	374982	427152	412978	391890	353828	247917	173546	268000	320358	234620	414956
180	100	385570	433275	424186	392377	364865	246000	172449	266144	321692	233652	412558
