# #Warehouse	%Distributed	Aria	AriaFB-1	AriaFB-2	AriaFB-4	AriaFB-6	Bohm	Calvin-1	Calvin-2	Calvin-4	Calvin-6	Pwv
1	15	10401	162879	162037	143154	160649	64371	151366	149703	138551	156923	173478
2	15	18985	201783	233519	215798	205886	124769	176420	230466	221735	212967	243174
4	15	36501	239429	273519	297404	261773	192307	196294	267669	337865	299799	347604
6	15	51939	256519	291485	286161	301512	210254	201943	278967	326009	364299	397684
8	15	68684	272985	302342	309136	301461	236056	202018	285820	364363	359868	449751
10	15	82431	284652	310085	306774	297443	254110	202076	286287	351242	359289	480304
12	15	96561	292678	316957	320033	309493	267733	200029	289720	370808	369613	489933
36	15	211894	349440	369735	364568	343635	256215	188915	288251	387456	378650	480388
60	15	270888	381016	392307	379247	368004	252636	184210	284064	389979	380357	476151
84	15	311342	397646	407209	393878	377165	249749	177979	281525	391110	382676	468094
108	15	338108	410873	412580	404789	397917	249003	175337	278884	391325	384402	462585
132	15	360402	412377	422840	413472	406511	246120	173432	277073	392001	384435	460025
156	15	375848	428403	429657	421615	414222	245290	172628	275642	391551	384919	458073
180	15	389371	426156	443731	436861	413425	244919	173092	274933	392008	385713	463544
