#　#Warehouse	%Distributed	Aria	AriaFB-1	AriaFB-2	AriaFB-4	AriaFB-6	Bohm	Calvin-1	Calvin-2	Calvin-4	Calvin-6	Pwv
1	50	10351	163850	159876	143625	159251	65170	151942	149944	138706	158954	172548
2	50	19161	199868	219177	194743	175558	124563	176556	217553	199330	180080	223026
4	50	36754	238955	262848	262016	212221	191445	195638	252315	292735	229107	312897
6	50	52584	259644	279084	262350	247296	210030	201660	265981	290408	276638	360304
8	50	67402	272262	292469	281077	251747	234178	200950	272816	314062	283359	417441
10	50	83443	284898	298634	281810	250355	253218	200806	276600	313762	278714	450865
12	50	97683	294483	307507	291344	257274	267562	199683	277581	326900	286905	488286
36	50	211006	353687	354189	330237	295586	256866	188213	280836	347773	295545	461837
60	50	268125	375406	378088	354765	321363	251875	183156	278410	353343	298185	454040
84	50	306749	391255	393344	378831	340085	248176	179701	275129	357148	298522	444882
108	50	335066	403274	405123	383330	359340	248305	177210	272829	360228	297979	441450
132	50	357192	411588	411539	402890	373106	246622	173343	273709	361461	299190	441386
156	50	373709	418126	420688	410942	377396	245245	172074	271397	362247	299621	439637
180	50	390214	425176	436572	418483	385428	243834	170753	270307	362355	299078	442445
