#clients	2PL	Tapir	OCC	Janus
1	21.03207	29.93136	16.99363	23.76023
10	206.1411	301.4938	163.4857	234.5316
100	801.2645	728.9028	643.7995	653.6911
200	1183.905	1099.346	793.3817	1293.7
400	1640.486	1281.919	494.3204	2592.255
800	1532.427	596.6987	290.0223	5122.928
1400	1052.984	209.5612	144.5113	8901.568
1600	991.5509	165.9559	139.4505	10085.04
2400	730.4664	125.5567	115.306	13310.12
2800	637.803	119.9605	96.71593	14739.17
3200	564.579	116.3354	61.66184	16354.2
4800	448.9523	115.76	73.62428	20294.2
6400	401.7716	36.85778	48.31722	21720.46
8000	399.1659	36.73912	44.51105	22538.67
9600	368.437	36.9882	53.55162	22883.07
11200	325.6008	38.9496	55.3216	23068.85
12800	298.7226	88.57319	60.23945	23265.57
14400	292.8937	41.24897	55.32342	21950.5
16000	253.5458	33.04626	54.99716	21966.25
17600	223.6727	30.74825	65.28581	22454.15
19200	216.5839	26.89663	57.13032	22003.05
